etID  | Input | Late Latin | Output {GOLD}
72     | #mˈed̪ium# | *#mˈɛʝʝo# | *#mˈeʒi# {GOLD: #mˈit͡ʃ#}
73     | #ˌekst̪ˈerius# | *#ˌɛst̪ˈɛrʝos# | *#ist̪ˈɛjɾus# {GOLD: #əst̪ˈirs#}
74     | #ˌin̪ɡˈen̪ium# | *#ˌeŋɟˈɛn̪ʝo# | *#iɲˈɛn̪ə# {GOLD: #əɲʒˈiɲ#}
75     | #fˈeriat̪# | *#fˈɛrʝɑt̪# | *#fˈɛjɾə# {GOLD: #fˈiɾə#}
76     | #lˈeɡit̪# | *#lˈɛʝet̪# | *#ʎˈɛi# {GOLD: #ʎˈit͡ʃ#}
77     | #sˈeks# | *#sˈɛxs# | *#sˈeʃ# {GOLD: #sˈis#}
78     | #t̪ˈeksit̪# | *#t̪ˈɛxset̪# | *#t̪ˈeʃ# {GOLD: #t̪ˈiʃ#}
79     | #ˈeksit̪# | *#ˈɛxset̪# | *#ˈeʃ# {GOLD: #ˈiʃ#}
80     | #kˈat̪hed̪ram# | *#kˌɑt̪ˈɛd̪rɑ# | *#kəðˈɛɾə# {GOLD: #kəðˈiɾə#}
81     | #t̪en̪eoː# | *#t̪ɛn̪ʝo# | *#t̪in̪i# {GOLD: #t̪ˈiŋk#}
82     | #wˈeːn̪ioː# | *#βʷˈen̪ʝo# | *#bˈɛn̪ə# {GOLD: #bˈiŋk#}
83     | #wˈet̪ulum# | *#βʷˈɛklo# | *#bˈɛʎə# {GOLD: #bˈeʎ#}
84     | #wˌen̪ˈi# | *#βʷˌɛn̪ˈe# | *#bin̪ˈe# {GOLD: #bˈin̪ə#}
85     | #hˈeriː# | *#hˈɛri# | *#ˈɛr# {GOLD: #əˈi#}
86     | #kˌerˈesiam# | *#cˌɛrˈɛsʝɑ# | *#siɾˈezə# {GOLD: #siɾˈeɾə#}
87     | #rˌemˈed̪ium# | *#rˌɛmˈɛʝʝo# | *#rimˈeʒi# {GOLD: #rəmˈɛj#}
88     | #ɡˈibbum# | *#ɟˈebbo# | *#ʒˈeβu# {GOLD: #ʒˈep#}
89     | #ɡˌin̪ɡˈiberi# | *#ɟˌeŋɟˈeβɛre# | *#ʒiɲˈewr# {GOLD: #ʒiɲʒˈeβɾə#}
